[['N', 1, 2, 'D', 1], 'DOWN']
[['N', 1, 2, 'D', 2], 'DOWN']
[['N', 1, 2, 'D', 3], 'CRAFT']
[['N', 1, 2, 'D', 4], 'CRAFT']
[['N', 1, 2, 'R', 0], 'NONE']
[['N', 1, 2, 'R', 1], 'DOWN']
[['N', 1, 2, 'R', 2], 'CRAFT']
[['N', 1, 2, 'R', 3], 'CRAFT']
[['N', 1, 2, 'R', 4], 'CRAFT']
[['N', 1, 3, 'D', 0], 'NONE']
[['N', 1, 3, 'D', 1], 'DOWN']
[['N', 1, 3, 'D', 2], 'DOWN']
[['N', 1, 3, 'D', 3], 'DOWN']
[['N', 1, 3, 'D', 4], 'CRAFT']
[['N', 1, 3, 'R', 0], 'NONE']
[['N', 1, 3, 'R', 1], 'DOWN']
[['N', 1, 3, 'R', 2], 'DOWN']
[['N', 1, 3, 'R', 3], 'CRAFT']
[['N', 1, 3, 'R', 4], 'CRAFT']
[['N', 2, 0, 'D', 0], 'NONE']
[['N', 2, 0, 'D', 1], 'CRAFT']
[['N', 2, 0, 'D', 2], 'CRAFT']
[['N', 2, 0, 'D', 3], 'CRAFT']
[['N', 2, 0, 'D', 4], 'CRAFT']
[['N', 2, 0, 'R', 0], 'NONE']
[['N', 2, 0, 'R', 1], 'CRAFT']
[['N', 2, 0, 'R', 2], 'CRAFT']
[['N', 2, 0, 'R', 3], 'CRAFT']
[['N', 2, 0, 'R', 4], 'CRAFT']
[['N', 2, 1, 'D', 0], 'NONE']
[['N', 2, 1, 'D', 1], 'CRAFT']
[['N', 2, 1, 'D', 2], 'CRAFT']
[['N', 2, 1, 'D', 3], 'CRAFT']
[['N', 2, 1, 'D', 4], 'CRAFT']
[['N', 2, 1, 'R', 0], 'NONE']
[['N', 2, 1, 'R', 1], 'CRAFT']
[['N', 2, 1, 'R', 2], 'CRAFT']
[['N', 2, 1, 'R', 3], 'CRAFT']
[['N', 2, 1, 'R', 4], 'CRAFT']
[['N', 2, 2, 'D', 0], 'NONE']
[['N', 2, 2, 'D', 1], 'DOWN']
[['N', 2, 2, 'D', 2], 'CRAFT']
[['N', 2, 2, 'D', 3], 'CRAFT']
[['N', 2, 2, 'D', 4], 'CRAFT']
[['N', 2, 2, 'R', 0], 'NONE']
[['N', 2, 2, 'R', 1], 'CRAFT']
[['N', 2, 2, 'R', 2], 'CRAFT']
[['N', 2, 2, 'R', 3], 'CRAFT']
[['N', 2, 2, 'R', 4], 'CRAFT']
[['N', 2, 3, 'D', 0], 'NONE']
[['N', 2, 3, 'D', 1], 'DOWN']
[['N', 2, 3, 'D', 2], 'CRAFT']
[['N', 2, 3, 'D', 3], 'CRAFT']
[['N', 2, 3, 'D', 4], 'CRAFT']
[['N', 2, 3, 'R', 0], 'NONE']
[['N', 2, 3, 'R', 1], 'CRAFT']
[['N', 2, 3, 'R', 2], 'CRAFT']
[['N', 2, 3, 'R', 3], 'CRAFT']
[['N', 2, 3, 'R', 4], 'CRAFT']
[['E', 0, 0, 'D', 0], 'NONE']
[['E', 0, 0, 'D', 1], 'HIT']
[['E', 0, 0, 'D', 2], 'HIT']
[['E', 0, 0, 'D', 3], 'HIT']
[['E', 0, 0, 'D', 4], 'HIT']
[['E', 0, 0, 'R', 0], 'NONE']
[['E', 0, 0, 'R', 1], 'HIT']
[['E', 0, 0, 'R', 2], 'HIT']
[['E', 0, 0, 'R', 3], 'HIT']
[['E', 0, 0, 'R', 4], 'HIT']
[['E', 0, 1, 'D', 0], 'NONE']
[['E', 0, 1, 'D', 1], 'SHOOT']
[['E', 0, 1, 'D', 2], 'HIT']
[['E', 0, 1, 'D', 3], 'HIT']
[['E', 0, 1, 'D', 4], 'HIT']
[['E', 0, 1, 'R', 0], 'NONE']
[['E', 0, 1, 'R', 1], 'SHOOT']
[['E', 0, 1, 'R', 2], 'HIT']
[['E', 0, 1, 'R', 3], 'HIT']
[['E', 0, 1, 'R', 4], 'HIT']
[['E', 0, 2, 'D', 0], 'NONE']
[['E', 0, 2, 'D', 1], 'SHOOT']
[['E', 0, 2, 'D', 2], 'SHOOT']
[['E', 0, 2, 'D', 3], 'HIT']
[['E', 0, 2, 'D', 4], 'HIT']
[['E', 0, 2, 'R', 0], 'NONE']
[['E', 0, 2, 'R', 1], 'SHOOT']
[['E', 0, 2, 'R', 2], 'HIT']
[['E', 0, 2, 'R', 3], 'HIT']
[['E', 0, 2, 'R', 4], 'HIT']
[['E', 0, 3, 'D', 0], 'NONE']
[['E', 0, 3, 'D', 1], 'SHOOT']
[['E', 0, 3, 'D', 2], 'SHOOT']
[['E', 0, 3, 'D', 3], 'SHOOT']
[['E', 0, 3, 'D', 4], 'HIT']
[['E', 0, 3, 'R', 0], 'NONE']
[['E', 0, 3, 'R', 1], 'SHOOT']
[['E', 0, 3, 'R', 2], 'HIT']
[['E', 0, 3, 'R', 3], 'HIT']
[['E', 0, 3, 'R', 4], 'HIT']
[['E', 1, 0, 'D', 0], 'NONE']
[['E', 1, 0, 'D', 1], 'HIT']
[['E', 1, 0, 'D', 2], 'HIT']
[['E', 1, 0, 'D', 3], 'HIT']
[['E', 1, 0, 'D', 4], 'HIT']
[['E', 1, 0, 'R', 0], 'NONE']
[['E', 1, 0, 'R', 1], 'HIT']
[['E', 1, 0, 'R', 2], 'HIT']
[['E', 1, 0, 'R', 3], 'HIT']
[['E', 1, 0, 'R', 4], 'HIT']
[['E', 1, 1, 'D', 0], 'NONE']
[['E', 1, 1, 'D', 1], 'SHOOT']
[['E', 1, 1, 'D', 2], 'HIT']
[['E', 1, 1, 'D', 3], 'HIT']
[['E', 1, 1, 'D', 4], 'HIT']
[['E', 1, 1, 'R', 0], 'NONE']
[['E', 1, 1, 'R', 1], 'SHOOT']
[['E', 1, 1, 'R', 2], 'HIT']
[['E', 1, 1, 'R', 3], 'HIT']
[['E', 1, 1, 'R', 4], 'HIT']
[['E', 1, 2, 'D', 0], 'NONE']
[['E', 1, 2, 'D', 1], 'SHOOT']
[['E', 1, 2, 'D', 2], 'SHOOT']
[['E', 1, 2, 'D', 3], 'HIT']
[['E', 1, 2, 'D', 4], 'HIT']
[['E', 1, 2, 'R', 0], 'NONE']
[['E', 1, 2, 'R', 1], 'SHOOT']
[['E', 1, 2, 'R', 2], 'HIT']
[['E', 1, 2, 'R', 3], 'HIT']
[['E', 1, 2, 'R', 4], 'HIT']
[['E', 1, 3, 'D', 0], 'NONE']
[['E', 1, 3, 'D', 1], 'SHOOT']
[['E', 1, 3, 'D', 2], 'SHOOT']
[['E', 1, 3, 'D', 3], 'SHOOT']
[['E', 1, 3, 'D', 4], 'HIT']
[['E', 1, 3, 'R', 0], 'NONE']
[['E', 1, 3, 'R', 1], 'SHOOT']
[['E', 1, 3, 'R', 2], 'HIT']
[['E', 1, 3, 'R', 3], 'HIT']
[['E', 1, 3, 'R', 4], 'HIT']
[['E', 2, 0, 'D', 0], 'NONE']
[['E', 2, 0, 'D', 1], 'HIT']
[['E', 2, 0, 'D', 2], 'HIT']
[['E', 2, 0, 'D', 3], 'HIT']
[['E', 2, 0, 'D', 4], 'HIT']
[['E', 2, 0, 'R', 0], 'NONE']
[['E', 2, 0, 'R', 1], 'HIT']
[['E', 2, 0, 'R', 2], 'HIT']
[['E', 2, 0, 'R', 3], 'HIT']
[['E', 2, 0, 'R', 4], 'HIT']
[['E', 2, 1, 'D', 0], 'NONE']
[['E', 2, 1, 'D', 1], 'SHOOT']
[['E', 2, 1, 'D', 2], 'HIT']
[['E', 2, 1, 'D', 3], 'HIT']
[['E', 2, 1, 'D', 4], 'HIT']
[['E', 2, 1, 'R', 0], 'NONE']
[['E', 2, 1, 'R', 1], 'SHOOT']
[['E', 2, 1, 'R', 2], 'HIT']
[['E', 2, 1, 'R', 3], 'HIT']
[['E', 2, 1, 'R', 4], 'HIT']
[['E', 2, 2, 'D', 0], 'NONE']
[['E', 2, 2, 'D', 1], 'SHOOT']
[['E', 2, 2, 'D', 2], 'HIT']
[['E', 2, 2, 'D', 3], 'HIT']
[['E', 2, 2, 'D', 4], 'HIT']
[['E', 2, 2, 'R', 0], 'NONE']
[['E', 2, 2, 'R', 1], 'SHOOT']
[['E', 2, 2, 'R', 2], 'HIT']
[['E', 2, 2, 'R', 3], 'HIT']
[['E', 2, 2, 'R', 4], 'HIT']
[['E', 2, 3, 'D', 0], 'NONE']
[['E', 2, 3, 'D', 1], 'SHOOT']
[['E', 2, 3, 'D', 2], 'HIT']
[['E', 2, 3, 'D', 3], 'HIT']
[['E', 2, 3, 'D', 4], 'HIT']
[['E', 2, 3, 'R', 0], 'NONE']
[['E', 2, 3, 'R', 1], 'SHOOT']
[['E', 2, 3, 'R', 2], 'HIT']
[['E', 2, 3, 'R', 3], 'HIT']
[['E', 2, 3, 'R', 4], 'HIT']
[['S', 0, 0, 'D', 0], 'NONE']
[['S', 0, 0, 'D', 1], 'UP']
[['S', 0, 0, 'D', 2], 'UP']
[['S', 0, 0, 'D', 3], 'UP']
[['S', 0, 0, 'D', 4], 'UP']
[['S', 0, 0, 'R', 0], 'NONE']
[['S', 0, 0, 'R', 1], 'UP']
[['S', 0, 0, 'R', 2], 'UP']
[['S', 0, 0, 'R', 3], 'UP']
[['S', 0, 0, 'R', 4], 'UP']
[['S', 0, 1, 'D', 0], 'NONE']
[['S', 0, 1, 'D', 1], 'UP']
[['S', 0, 1, 'D', 2], 'UP']
[['S', 0, 1, 'D', 3], 'UP']
[['S', 0, 1, 'D', 4], 'UP']
[['S', 0, 1, 'R', 0], 'NONE']
[['S', 0, 1, 'R', 1], 'UP']
[['S', 0, 1, 'R', 2], 'UP']
[['S', 0, 1, 'R', 3], 'UP']
[['S', 0, 1, 'R', 4], 'UP']
[['S', 0, 2, 'D', 0], 'NONE']
[['S', 0, 2, 'D', 1], 'UP']
[['S', 0, 2, 'D', 2], 'UP']
[['S', 0, 2, 'D', 3], 'UP']
[['S', 0, 2, 'D', 4], 'UP']
[['S', 0, 2, 'R', 0], 'NONE']
[['S', 0, 2, 'R', 1], 'UP']
[['S', 0, 2, 'R', 2], 'UP']
[['S', 0, 2, 'R', 3], 'UP']
[['S', 0, 2, 'R', 4], 'UP']
[['S', 0, 3, 'D', 0], 'NONE']
[['S', 0, 3, 'D', 1], 'UP']
[['S', 0, 3, 'D', 2], 'UP']
[['S', 0, 3, 'D', 3], 'UP']
[['S', 0, 3, 'D', 4], 'UP']
[['S', 0, 3, 'R', 0], 'NONE']
[['S', 0, 3, 'R', 1], 'UP']
[['S', 0, 3, 'R', 2], 'UP']
[['S', 0, 3, 'R', 3], 'UP']
[['S', 0, 3, 'R', 4], 'UP']
[['S', 1, 0, 'D', 0], 'NONE']
[['S', 1, 0, 'D', 1], 'UP']
[['S', 1, 0, 'D', 2], 'UP']
[['S', 1, 0, 'D', 3], 'UP']
[['S', 1, 0, 'D', 4], 'UP']
[['S', 1, 0, 'R', 0], 'NONE']
[['S', 1, 0, 'R', 1], 'UP']
[['S', 1, 0, 'R', 2], 'UP']
[['S', 1, 0, 'R', 3], 'UP']
[['S', 1, 0, 'R', 4], 'UP']
[['S', 1, 1, 'D', 0], 'NONE']
[['S', 1, 1, 'D', 1], 'UP']
[['S', 1, 1, 'D', 2], 'UP']
[['S', 1, 1, 'D', 3], 'UP']
[['S', 1, 1, 'D', 4], 'UP']
[['S', 1, 1, 'R', 0], 'NONE']
